00:01.227 OUT,type:DATA_BA,tx:7,rx:1,rssi:-61,movement:1,seqno:170
00:01.228 OUT,type:DATA_AB,tx:21,rx:7,rssi:-63,seqno:63
00:01.230 OUT,type:DATA_AB,tx:1,rx:7,rssi:-60,seqno:62
00:01.231 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:63
00:01.232 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:01.233 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:02.199 OUT,type:DATA_AA,tx:24,rx:1,rssi:-60,seqno:63
00:03.227 OUT,type:DATA_BA,tx:7,rx:1,rssi:-58,movement:1,seqno:171
00:03.228 OUT,type:DATA_AB,tx:21,rx:7,rssi:-63,seqno:63
00:03.229 OUT,type:DATA_AB,tx:1,rx:7,rssi:-60,seqno:62
00:03.230 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:63
00:03.231 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:03.232 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:05.228 OUT,type:DATA_BA,tx:7,rx:1,rssi:-60,movement:1,seqno:172
00:05.230 OUT,type:DATA_AB,tx:21,rx:7,rssi:-63,seqno:63
00:05.230 OUT,type:DATA_AB,tx:1,rx:7,rssi:-60,seqno:62
00:05.232 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:63
00:05.233 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:05.234 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:05.598 OUT,type:DATA_AA,tx:21,rx:24,rssi:-54,seqno:63
00:05.599 OUT,type:DATA_AA,tx:7,rx:24,rssi:-54,seqno:63
00:05.600 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:62
00:05.619 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:05.620 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:05.621 OUT,type:DATA_AB,tx:21,rx:7,rssi:-63,seqno:63
00:05.622 OUT,type:DATA_AB,tx:1,rx:7,rssi:-60,seqno:62
00:05.625 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:63
00:05.627 OUT,type:DATA_BA,tx:7,rx:24,rssi:-54,movement:1,seqno:169
00:05.635 OUT,type:DATA_BA,tx:7,rx:24,rssi:-54,movement:1,seqno:170
00:05.637 OUT,type:DATA_BA,tx:7,rx:24,rssi:-54,movement:1,seqno:171
00:05.652 OUT,type:DATA_BA,tx:7,rx:24,rssi:-61,movement:1,seqno:172
00:05.774 OUT,type:FREQ,seqno:63,freq:18,grace:1000
00:06.072 OUT,type:DATA_AA,tx:24,rx:1,rssi:-60,seqno:64
00:06.200 OUT,type:DATA_AA,tx:21,rx:1,rssi:-64,seqno:64
00:06.825 OUT,type:DATA_AA,tx:7,rx:1,rssi:-60,seqno:64
00:07.228 OUT,type:DATA_BA,tx:7,rx:1,rssi:-60,movement:1,seqno:173
00:07.229 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:64
00:07.230 OUT,type:DATA_AB,tx:1,rx:7,rssi:-62,seqno:63
00:07.231 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:64
00:07.232 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:07.233 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:07.472 OUT,type:DATA_AA,tx:7,rx:21,rssi:-54,seqno:64
00:07.473 OUT,type:DATA_AA,tx:24,rx:21,rssi:-58,seqno:64
00:07.474 OUT,type:DATA_AA,tx:1,rx:21,rssi:-64,seqno:63
00:07.494 OUT,type:DATA_AB,tx:21,rx:7,rssi:-63,seqno:63
00:07.495 OUT,type:DATA_AB,tx:1,rx:7,rssi:-60,seqno:62
00:07.496 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:63
00:07.497 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:07.498 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:07.499 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:64
00:07.506 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:170
00:07.517 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:171
00:07.518 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:172
00:07.527 OUT,type:DATA_BA,tx:7,rx:21,rssi:-54,movement:1,seqno:173
00:08.074 OUT,type:DATA_AA,tx:7,rx:1,rssi:-60,seqno:64
00:09.228 OUT,type:DATA_BA,tx:7,rx:1,rssi:-60,movement:1,seqno:174
00:09.229 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:64
00:09.230 OUT,type:DATA_AB,tx:1,rx:7,rssi:-62,seqno:63
00:09.231 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:64
00:09.232 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:09.233 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:11.228 OUT,type:DATA_BA,tx:7,rx:1,rssi:-61,movement:1,seqno:175
00:11.229 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:64
00:11.230 OUT,type:DATA_AB,tx:1,rx:7,rssi:-62,seqno:63
00:11.231 OUT,type:DATA_AB,tx:24,rx:7,rssi:-59,seqno:64
00:11.232 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
00:11.233 OUT,type:DATA_AB,tx:27,rx:7,rssi:-63,seqno:57
00:12.698 OUT,type:DATA_AA,tx:7,rx:1,rssi:-60,seqno:64
00:12.824 OUT,type:DATA_AA,tx:24,rx:1,rssi:-60,seqno:64
00:13.076 OUT,type:DATA_AA,tx:21,rx:1,rssi:-65,seqno:64
00:13.228 OUT,type:DATA_BA,tx:7,rx:1,rssi:-58,movement:1,seqno:176
00:13.230 OUT,type:DATA_AB,tx:21,rx:7,rssi:-54,seqno:64
00:13.231 OUT,type:DATA_AB,tx:1,rx:7,rssi:-62,seqno:63
00:13.232 OUT,type:DATA_AB,tx:24,rx:7,rssi:-58,seqno:64
00:13.233 OUT,type:DATA_AB,tx:14,rx:7,rssi:-56,seqno:58
